personnalite
Charles DE GAULLE
Victor HUGO
Louis PASTEUR
Marie CURIE
MOLIÈRE
Jean-Jacques ROUSSEAU
Albert CAMUS
Gustave EIFFEL
Louis RENAULT
André CITROËN
Marguerite YOURCENAR
Jean JAURÈS
Jean MOULIN
Napoléon BONAPARTE
Georges CLEMENCEAU
VOLTAIRE
Honoré DE BALZAC
Émile ZOLA
Louis LUMIÈRE
Henri POINCARÉ
Louis BLÉRIOT
Paul LANGEVIN
Louis BRAILLE
Nicolas APPERT
Henri BECQUEREL
Pierre DE COUBERTIN
Jules FERRY
Jean DE LA FONTAINE
Jean-Baptiste LAMARCK
Pierre Simon LAPLACE
Blaise PASCAL
Georges BRASSENS
Paul VERLAINE
Raymond KOPA
Jean BOUIN
Claude MONET
Paul CÉZANNE
Auguste RENOIR
Edgar DEGAS
Henri MATISSE
Paul GAUGUIN
Georges SEURAT
Auguste RODIN
Marie TUSSAUD
Yves SAINT LAURENT
Christian DIOR
René DESCARTES
Henri BERGSON
LE CORBUSIER
VAUBAN
Bertrand DU GUESCLIN
François RABELAIS
Jean-Baptiste COLBERT
Frédéric CHOPIN
Hector BERLIOZ
Georges BIZET
Erik SATIE
Claude DEBUSSY
Charles AZNAVOUR
Django REINHARDT
Serge GAINSBOURG
Édith PIAF
